Value	Label
1	HighIncome,expensivechild
2	VeryImportantProvincials
3	Highstatusseniors
4	Affluentseniorapartments
5	Mixedseniors
6	Careerandchildcare
7	Dinki's(doubleincomenokids)
8	Middleclassfamilies
9	Modern,completefamilies
10	Stablefamily
11	Familystarters
12	Affluentyoungfamilies
13	Youngallamericanfamily
14	Juniorcosmopolitan
15	Seniorcosmopolitans
16	Studentsinapartments
17	Freshmastersinthecity
18	Singleyouth
19	Suburbanyouth
20	Etnicallydiverse
21	Youngurbanhave-nots
22	Mixedapartmentdwellers
23	Youngandrising
24	Young,loweducated
25	Youngseniorsinthecity
26	Ownhomeelderly
27	Seniorsinapartments
28	Residentialelderly
29	Porchlessseniors:nofrontyard
30	Religiouselderlysingles
31	Lowincomecatholics
32	Mixedseniors
33	Lowerclasslargefamilies
34	Largefamily,employedchild
35	Villagefamilies
36	Coupleswithteens'Marriedwithchildren'
37	Mixedsmalltowndwellers
38	Traditionalfamilies
39	Largereligousfamilies
40	Largefamilyfarms
41	Mixedrurals
